,Apoptosis
Ceramide-0,3.348490168061083e-06
SMAD-0,0.9999999999999983
SMAD-1,0.9999999999969333
PDGFR-1,0.0
PDGFR-0,0.9999999996250706
Cytoskeleton_signaling-0,1.0
Cytoskeleton_signaling-1,1.0
STAT3-1,1.0
STAT3-0,1.0
ERK-0,0.9999999999956669
ERK-1,1.0
Stimuli-0,0.9999999985920714
IL2-1,1.0
IL2-0,0.999999999612933
TBET-0,0.33834120665167616
TBET-1,1.0
IL2RAT-1,1.0
IL2RAT-0,0.9999999975612879
NFAT-0,0.9999999999999615
NFAT-1,1.0
CTLA4-0,1.0
CTLA4-1,1.0
BclxL-1,0.9999999999999999
BclxL-0,1.0
TRADD-1,1.0
TRADD-0,1.0
SOCS-1,0.7916989533674966
SOCS-0,0.9999999999999997
ZAP70-1,1.0
Proliferation-0,1.0
Proliferation-1,0.9999999978784813
GAP-0,1.0
GAP-1,0.9999840677714469
IL2RBT-0,0.9999999999981736
IL2RBT-1,1.0
FYN-1,1.0
FYN-0,1.0
sFas-0,0.999999998513527
sFas-1,1.9595304885689933e-27
IL15-0,0.999920711357814
FLIP-0,0.9999999967476817
MCL1-1,0.9999999999883286
FLIP-1,0.9999999978651841
ZAP70-0,1.0
IFNGT-1,1.0
FasL-1,1.0
FasL-0,7.1209813535866e-14
Stimuli2-1,0.9999999999996814
PDGF-1,0.0
DISC-0,0.005809805766281882
PI3K-0,0.9989723221630313
PI3K-1,1.0
IAP-1,0.9999999999999989
LCK-0,0.996231132967821
LCK-1,1.0
CREB-1,1.0
CREB-0,1.0
BID-1,1.0
BID-0,1.0
IFNGT-0,0.9999999999994025
Caspase-0,0.0
Caspase-1,1.0
MCL1-0,1.0
Fas-0,9.619531442443423e-11
Fas-1,0.9999999998394568
P27-1,1.0
P27-0,1.0
TAX-1,1.0
S1P-0,1.0
S1P-1,0.0
CD45-1,0.9971822539899373
GRB2-0,0.9999998499126148
GRB2-1,1.0
TPL2-0,1.0
MEK-1,1.0
MEK-0,0.9999999999999
NFKB-0,1.0
NFKB-1,1.0
GPCR-1,1.0
GPCR-0,1.0
SPHK1-1,0.0
SPHK1-0,1.0
TNF-0,0.9999999911602445
TNF-1,1.0
IL2RA-0,1.0
IL2RA-1,1.0
RANTES-0,0.9999984715747487
RANTES-1,0.999999999971768
A20-1,0.9999999999993349
A20-0,0.9999999999999994
PLCG1-1,1.0
FasT-1,1.0
FasT-0,1.78215521601941e-19
TCR-1,0.9998075605769765
TCR-0,1.0
PLCG1-0,0.9978743580147766
IFNG-1,0.9999999999547883
IFNG-0,1.0
P2-1,1.0
P2-0,1.0
IL2RB-1,1.0
IL2RB-0,0.9999999999801601
TPL2-1,1.0
DISC-1,1.0
IAP-0,0.9999999999999998
Ceramide-1,0.9999999999999998
GZMB-1,0.9999999942594724
GZMB-0,0.9999763377997907
RAS-0,0.9999692267331365
RAS-1,1.0
JAK-0,0.811012314639224
JAK-1,1.0
